avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
0.33,1.0,2019-04-17,2019-04-03,Webseries,Chico,Watch Women Go From Food Obsessed to Food Freedom in Just 7 Days,64,"{1: 1, 100: 0}",0,2199,$,2000,0.1,2,2,0,First created,0,1,3,0,Michelle Hastie Thompson,5,1,CA,Funding Unsuccessful,Binge On This
15.82,23.72,2019-04-19,2019-03-25,Comic Books,Charleston,An action horror comic book series about a fraternal organization of monster hunters.,85,"{1: 4, 5: 47, 10: 63, 20: 19, 25: 16, 35: 6, 50: 6, 60: 4, 100: 8, 300: 1}",1,2723,$,2200,190.82,4198,177,8,1,0,174,11,18,William Tener,14,1,WV,Funding Successful,Black Jackets #1
5.25,82.11,2019-04-19,2019-03-20,Art,Brighton,Luxe sacred space savers for women who are ready to give themselves MORE of everything they desire.,99,"{5: 4, 20: 11, 30: 2, 50: 3, 88: 42, 385: 1, 432: 0, 2: 0}",0,1684,£,5000,114.96,5748,70,2,1,0,63,12,8,The More Collective,13,1,UK,Funding Successful,More. than a yoga mat
0.5,30.0,2019-04-18,2019-04-05,Crafts,Grand Rapids,Have you ever wanted a small statue of your zodiac symbol decorated with your sign's correlated birthstones? Look no further!,125,"{1: 0, 15: 1, 30: 0, 65: 1}",0,975,$,2000,4.5,90,3,0,First created,0,2,4,0,Spencer Provenzola,1,0,MI,Cancelled by Creator,Zodiac Metals
5.0,20.4,2019-04-19,2019-03-20,Tabletop Games,London,A Haunted House table top game for the daring and brave!,56,{28: 5},0,2729,£,8000,2.55,204,10,9,2,0,5,1,0,Andrew Topping,1,0,UK,Funding Unsuccessful,Haunted House Game
5.38,113.12,2019-04-17,2019-03-18,Art,Venice,"Join our quest to live stream and record our programme to ensure anyone with an internet connection can see, listen and participate",131,"{10: 14, 25: 26, 50: 14, 90: 3, 150: 7, 250: 3, 400: 0, 500: 2, 750: 0, 4: 1}",1,8721,€,10000,105.2,10520,93,0,1,0,70,13,3,African Art Dialogues,13,1,Italy,Funding Successful,The African Art in Venice Forum: broadcasting globally
3.67,40.75,2019-04-18,2019-03-19,Children's Books,Tucson,Follow Claire on her adventure outside her family's home. An engaging rhyming picture book for young readers and curious little ones.,133,"{2: 0, 8: 0, 10: 2, 16: 14, 20: 9, 30: 5, 40: 5, 50: 2, 55: 0, 75: 4, 100: 2, 350: 1}",1,5776,$,2000,105.95,2119,52,1,1,0,44,12,3,Jennifer Lutz,8,2,AZ,Funding Successful,"Dust Bunny Tales, Curious Claire Children's Book"
8.43,38.18,2019-04-19,2019-04-04,Art Books,Charlotte,A coloring book of women in science,35,"{5: 4, 15: 7, 25: 29, 50: 18, 100: 0, 150: 1}",0,971,$,900,305.44,2749,72,0,1,0,59,7,6,Maura Walter,3,2,NC,Funding Successful,Quickstarter: Steminist
6.43,264.57,2019-04-18,2019-03-19,Product Design,Mamaroneck,A Line of Luggage that serves as it's own Luggage Cart,54,"{99: 3, 109: 3, 129: 5, 139: 0, 159: 2, 199: 0, 219: 0, 229: 11, 249: 8, 259: 28, 279: 30, 459: 0, 499: 0}",0,9362,$,150000,16.76,25134,95,8,First created,0,90,14,0,Stu Berger,45,5,NY,Funding Unsuccessful,Quantum Luggage Cart
0.43,49.0,2019-04-15,2019-03-16,Fiction,Cleveland,"The first installment of ""The Dreamcatchers' Series""",52,"{5: 0, 10: 1, 25: 0, 50: 1, 125: 1, 300: 0, 1: 0}",0,7184,$,7500,2.61,196,4,0,First created,0,3,7,0,Rebecca Jackson,1,0,OH,Funding Unsuccessful,Choosing Love: Cailin's Story
23.67,177.6,2019-04-19,2019-03-20,Electronic Music,Bochum,A Theremin built with 4 vacuum-tubes and only discrete components to make it as near to the original Theremin as possible,121,"{5: 14, 180: 10, 200: 47}",1,1794,€,5000,255.74,12787,72,2,1,0,71,3,1,AK Modul-Bus Computer GmbH,1,1,Germany,Funding Successful,A Tube-Theremin
4.1,91.14,2019-04-15,2019-03-15,Tabletop Games,San Francisco,Use the randomness of the universe to create order.,51,"{1: 3, 20: 1, 30: 1, 35: 14, 50: 12, 100: 8, 250: 2, 500: 0}",0,1256,$,10000,40.1,4010,44,9,First created,8,41,10,3,Undeferred Interactive,15,1,CA,Funding Unsuccessful,Nebula
27.17,115.19,2019-04-15,2019-03-06,Design,Naperville,"This device pushes warm or cool air under your blanket, directly to your body, to keep you cozy",95,"{5: 1, 79: 50, 89: 65, 99: 12, 169: 32, 189: 3}",0,3856,$,25000,78.79,19698,171,13,First created,5,163,6,7,BedBubble,30,1,IL,Cancelled by Creator,BedBubble: Meet your personal heating and cooling device
0.38,50.25,2019-04-15,2019-03-31,Graphic Design,Limerick,"A Logo Design Project. Get an Outstanding Logo Design for any kind of Companies, Products and People.",101,"{50: 2, 100: 1, 150: 0, 250: 0, 350: 0, 750: 0, 1: 0}",0,1817,€,100,201.0,201,4,0,1,0,3,8,1,Mohammed Nazrul Islam,1,0,Ireland,Funding Successful,Let's Make Some Awesome Logos for your Business
24.0,718.3,2019-04-15,2019-03-31,Playing Cards,Hong Kong,"The First Playing Card Published In Bazaar Art Magazine .Now The Luxury Art Set ,V2 Is Coming！",94,"{298: 83, 550: 148, 596: 13, 894: 3, 1: 38, 2: 1, 3: 2}",0,7103,HK$,30000,696.75,209026,291,34,1,0,288,12,4,Artisan playing cards,35,0,Hong Kong,Funding Successful,Wolfram V2 Playing Cards Collection Set，2019SS
9.3,286.27,2019-04-15,2019-03-16,Design,Voghera,A unique racing chronograph assembled in Italy with a Swiss designed mechanical heart.  Join the hand-wound revolution! Join Levante!,133,"{230: 33, 246: 11, 262: 33, 264: 0, 278: 10, 296: 0, 492: 0, 524: 6, 754: 0, 984: 0}",0,10049,€,16000,171.76,27482,96,72,1,0,93,10,13,Omar Dimauro,48,1,Italy,Funding Successful,Viqueria Levante: Hand-wound Racing Watch Assembled in Italy
10.6,141.87,2019-04-17,2019-03-18,Photobooks,New York,A photobook of mosques and synagogues utilizing laser cuts to highlight the parallels between Islam and Judaism.,112,"{10: 11, 25: 14, 55: 49, 125: 23, 250: 4, 300: 0, 350: 0, 400: 2, 500: 2, 750: 1}",1,4751,$,16000,105.51,16882,119,3,1,0,106,10,4,Shari Diamond,8,1,NY,Funding Successful,Re Imaging Relations: Photobook by Shari Diamond
