avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
0.5,9.25,2019-04-19,2019-03-20,Food,New York,White-Chocolate Ganache & Truffle Popcorn chips,47,"{1: 1, 10: 1, 25: 1, 50: 0, 75: 0, 125: 0}",0,624,$,200,18.5,37,4,0,1,0,3,6,0,Conrad Ross,0,1,NY,Funding Unsuccessful,Kernel's Decadently Delicious Popcorn Potato Chips
10.57,47.52,2019-04-20,2019-03-21,Children's Books,Edmonton,"A poignant, beautifully illustrated picture book about grief and loss, with a promise that everyone has a purpose.",114,"{5: 3, 15: 21, 20: 7, 30: 14, 33: 18, 70: 7, 130: 4}",0,4809,$,3000,128.3,3849,81,5,1,2,74,7,5,Judith Lam Tang,3,1,Canada,Funding Successful,Hunter's Special Squawk: a picture book
3.89,14.47,2019-04-21,2019-03-22,Comic Books,Bournemouth,THE FIRST EVER FEMALE VICAR ACTION HERO! Issue 007. A 24 page anthology comic from Kult Creations.,98,"{3: 3, 4: 16, 15: 3, 20: 8, 25: 4, 50: 1, 85: 0}",0,829,£,360,144.72,521,36,2,1,0,35,9,8,John A. Short,10,1,UK,Funding Successful,REVEREND CROSS issue 007
0.4,18.67,2019-04-19,2019-03-05,Product Design,Lumberton,Customer Customization Nail Stamping Plates,43,"{1: 0, 5: 0, 10: 0, 25: 2, 50: 0}",0,2548,$,10000,0.56,56,3,0,1,0,2,5,0,Crystal Benton,4,1,NC,Funding Unsuccessful,Wicked Nails Custom Ordered Nail Stamping Plates
0.67,180.25,2019-04-21,2019-03-07,Product Design,Sydney,"Join Rahila and her social enterprise to help women in Afghanistan by creating beautiful, handmade fashion pieces and accessories.",130,"{50: 0, 100: 0, 200: 2}",0,6104,$,25000,2.88,721,4,0,1,0,2,3,0,Afsana,9,1,AU,Cancelled by Creator,Afsana: Ethical fashion by women in Afghanistan
0.0,1.0,2019-04-20,2019-02-20,Animation,Vancouver,Everything I have done thus far has prepared me and led me back to my early days,80,"{150: 0, 1: 0}",0,3830,$,10000,0.01,1,1,0,1,0,0,2,0,rEZI,1,0,Canada,Funding Unsuccessful,An awakened life - Steps to turn dreams into reality
13.5,98.2,2019-04-21,2019-03-24,Country & Folk,Bergenfield,A 24/7 Internet radio channel devoted to contemporary folk music and traditional root music.,92,"{25: 42, 50: 14, 75: 14, 100: 32, 150: 3, 200: 2, 2: 1}",1,5436,$,7000,178.17,12472,127,9,1,0,108,8,9,Ron Olesko,3,1,NJ,Funding Successful,Folk Music Notebook
11.57,14.72,2019-04-21,2019-03-20,Comic Books,Denver,"Dorphise Jean (Spirit's Destiny) teams up with the SoV Comics team to present the story of Fauna, a hero who protects his community!",132,"{5: 32, 10: 24, 15: 9, 20: 13, 45: 1, 60: 2, 150: 0}",0,3183,$,1000,122.2,1222,83,6,1,1,81,7,10,Shades of Vengeance Comics,18,1,CO,Funding Successful,Fauna #1
239.33,43.85,2019-04-19,2019-03-14,Tabletop Games,Toronto,"In this pocket-sized civilization game for 1 to 4 players, you may build your unique empire with numerous possibilities!",120,"{34: 710, 36: 6, 69: 2}",0,2329,$,2200,19954.36,438996,10011,1771,1,3,718,3,12,Ice Makes,72,2,Canada,Funding Successful,Age of Civilization - the pocket-sized civ game!
1.33,17.0,2019-04-20,2019-03-06,Gadgets,Jacksonville,"VoomTek magnetic phone case with armband, a revolutionary hybrid smartphone case for active people",98,"{5: 0, 15: 4, 4: 0}",0,1243,$,9000,1.13,102,6,3,1,0,4,3,4,Jeremy Millrood,9,1,FL,Funding Unsuccessful,Hybrid Smartphone Case - iphone ios
69.71,77.95,2019-04-20,2019-03-19,Tabletop Games,Houston,"Deck building, worker placement and area of control in a high fantasy, prohibition era world.  2-5 Players.  Stunning art.",122,"{1: 38, 5: 6, 54: 289, 88: 80, 150: 50, 175: 21, 449: 4}",0,1232,$,25000,153.4,38350,492,126,1,1,488,7,10,HutChu Games,25,2,TX,Funding Successful,"PLUNDERBUND, the Back Alley Business Board Game"
23.75,45.78,2019-04-20,2019-03-12,Art Books,Westminster,"Songs of Giants: lost poetry of pulp giants Robert E. Howard, Edgar Rice Burroughs & H.P. Lovecraft, illustrated by Mark Wheatley!",130,"{5: 0, 15: 13, 25: 150, 35: 89, 70: 8, 100: 24, 500: 1, 1: 0}",1,10340,$,5500,243.91,13415,293,24,1,0,285,12,25,"ComicMix, LLC",42,1,MD,Funding Successful,"SONGS OF GIANTS: the poetry of pulp, illustrated"
57.0,119.43,2019-04-19,2019-03-25,Tabletop Games,Turnhout,"An exciting adventure miniature game with euro style gameplay elements, with a competitive and cooperative mode (1-6 players).",126,"{1: 222, 98: 1, 115: 1, 360: 29, 420: 32}",0,0,€,40000,764.67,305870,2561,1559,1,8,285,5,13,Game Brewer,42,1,Belgium,Funding Successful,Fuji Koro Deluxe
2.78,25.58,2019-04-19,2019-03-20,Art,Rome,A magical Sailor Moon-inspired pin set with the lovely Usagi and her future self as the Queen.,94,"{1: 0, 6: 0, 12: 4, 20: 19, 24: 1, 36: 0, 48: 0, 50: 1, 60: 0}",0,2083,€,400,166.25,665,26,0,1,0,25,9,4,MerMade,10,0,Italy,Funding Successful,Sailor hard enamel pin set: present and future.
2.0,381.74,2019-04-20,2019-03-19,Product Design,Newark,A new style of bedroll with an integrated air mattress.,55,"{5: 2, 199: 6, 219: 4, 239: 1, 259: 0, 398: 2, 418: 0, 438: 0, 956: 5, 1: 0}",0,950,$,172000,5.1,8780,23,5,1,0,20,10,2,Sanford Snyderman,31,1,NJ,Funding Unsuccessful,Z-roll. The go anywhere bed.
60.0,174.36,2019-04-20,2019-03-06,Product Design,Hong Kong,"A refined version of a tool designed so you can carry it on your key chain and fits in a small pocket, can be used as bottle opener etc",135,"{39: 152, 78: 152, 149: 61, 227: 36, 305: 11, 462: 7, 847: 1}",0,5305,HK$,30000,245.27,73580,422,28,1,7,420,7,4,Ron and Thea,39,1,Hong Kong,Funding Successful,"TTOOL: TACTICAL, get it TODAY, 19 Applications"
2.43,18.83,2019-04-20,2019-04-06,Art,Toronto,an enamel pin set of cute creatures,35,"{1: 1, 5: 1, 13: 11, 25: 3, 36: 0, 48: 1}",0,361,$,400,84.75,339,18,0,1,0,17,7,1,Celia Tang,1,0,Canada,Funding Unsuccessful,Cute Creatures ; an enamel pin collection
45.73,87.02,2019-04-20,2019-03-14,Apps,Sacramento,"Sircles is Yelp meets Facebook for recommendations. No reviews, means nothing negative... just LOVE ❤",101,"{7: 14, 12: 189, 25: 79, 50: 67, 60: 1, 100: 50, 130: 1, 200: 81, 500: 13, 1: 8, 10: 0}",0,0,$,20000,226.69,45338,521,39,1,0,503,11,14,Sircles,5,1,CA,Funding Successful,SIRCLES | Caring = Sharing ❤
0.5,42.8,2019-04-20,2019-03-20,Children's Books,London,"Welcome to Odd Name Town, where strange is normal and normal is strange.",72,"{1: 0, 10: 1, 20: 0, 40: 2, 100: 1, 220: 0, 450: 0}",0,1251,£,2000,10.7,214,5,2,1,0,4,8,0,K. Media,16,1,UK,Cancelled by Creator,Odd Name Town: Book Series
3.0,256.22,2019-04-20,2019-02-19,Technology,Prior Lake,World's slimmest and fastest fully automatic litter box. Uses water to flush for a truly hands-free experience.,111,"{25: 0, 349: 6}",0,4364,$,10000,23.06,2306,9,6,1,0,6,2,2,Vernes Velagic,11,1,MN,Funding Unsuccessful,Catboxpro™ - 30 Seconds Self-flushing Cat Litter Box
