avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
196.0,42.43,2019-05-01,2019-04-03,Spaces,Oxfordshire,Father and daughter setting up a local bakery.,46,{20: 196},0,3815,£,5000,202.8,10140,239,0,1,0,196,1,4,Alex Tait,2,1,UK,Funding Successful,The Orange Bakery; baking good bread for our community
0.0,45.5,2019-05-01,2019-04-01,Gadgets,Zamora,"Providing fishermen the best way of lubricating their lines and leaders quickly,
comfortably, precisely and cleanly, guaranteed.",128,"{2: 0, 10: 0, 15: 0, 20: 0, 25: 0, 30: 0, 40: 0, 50: 0, 200: 0, 300: 0, 500: 0, 1: 0}",0,9027,€,20000,0.46,91,2,2,First created,0,0,13,1,Juan Carlos Sampedro,14,4,Spain,Funding Unsuccessful,Advanced Fly Line Lubrication System (ALSYS) (SAEL-esp)
0.0,1.0,2019-05-01,2019-04-01,Hardware,Temecula,Stackable Battery with more 3x more energy,42,"{25: 0, 100: 0, 3: 0}",0,1090,$,600000,0.0,1,1,0,1,0,0,3,0,Ted Thomas,1,1,CA,Cancelled by Creator,"Stackbatt, a new breakthrough in Battery Technology"
2.73,1592.09,2019-05-01,2019-04-02,Video Games,Mexico City,"The first Augmented Reality based tabletop RPG, aimed to help children learn science through fun challenges and amazing battles.",128,"{100: 4, 300: 5, 500: 5, 700: 2, 800: 3, 1: 9, 3: 0, 5: 2}",0,1543,MX$,250000,21.02,52539,33,0,First created,0,30,11,0,DADBOX,21,1,Mexico,Cancelled by Creator,The 1st A/R RPG that teaches science to kids: Marvelous Kids
12.31,41.39,2019-05-01,2019-04-09,Art,Vancouver,Enamel pins featuring animals wearing Lolita fashion.,53,"{12: 12, 13: 38, 24: 15, 26: 55, 36: 3, 39: 32, 48: 4, 52: 12, 63: 6, 74: 9, 85: 2, 96: 3, 106: 0, 116: 3, 126: 2, 136: 1}",0,2291,$,300,2732.0,8196,198,4,1,3,197,16,6,Jennifer Hintz,19,0,Canada,Funding Successful,Frilly Friends: A Hard Enamel Pin Collection
1.4,25.11,2019-05-01,2019-04-01,Video Games,Buffalo,An Action RPG that takes place in a post apocalyptic era dominated by Technology and Artificial Intelligence.,109,"{10: 3, 30: 3, 60: 0, 100: 1, 250: 0}",0,2618,$,10000,2.26,226,9,0,1,0,7,5,2,Smileyz Productionz,5,1,NY,Funding Unsuccessful,Project D.E.D.I.C
5.0,10.55,2019-04-30,2019-04-15,Tabletop Games,Orlando,Wargamer Tabletop Miniatures. A set of powerful mystical weapons embedded into unique stone terrain.,100,"{5: 1, 10: 9}",0,3117,$,300,38.67,116,11,0,1,0,10,2,0,QuickPlay,1,1,FL,Funding Unsuccessful,Kingmaker Stone Bundle
3.17,74.55,2019-05-01,2019-04-01,Music,Brooklyn,"New album featuring dream seeds, mountain howls, monster tears, and soul retrieval wrapped up in a supernatural sideshow award ceremony",135,"{2: 2, 10: 14, 15: 5, 20: 3, 25: 10, 30: 7, 40: 5, 50: 4, 60: 3, 75: 0, 100: 3, 250: 0, 500: 1, 1: 0}",1,2167,$,4800,102.5,4920,66,0,1,0,57,18,7,Omer Gal,8,2,NY,Funding Successful,Dream Seed Ceremonies by Cookie Tongue
3.33,95.21,2019-05-01,2019-03-27,Stationery,San Francisco,"Farewell strawberry stickers of the 80s. It's time for parents, pet owners and city dwellers to laugh.",102,"{5: 0, 15: 1, 25: 8, 50: 11, 200: 0, 2: 0}",0,2146,$,10000,26.66,2666,28,0,1,0,20,6,0,Ickerz,13,1,CA,Funding Unsuccessful,Ickerz: Funny scratch and sniff stickers with an icky twist!
0.8,34.0,2019-05-01,2019-04-03,Faith,Wichita,"New Recording And Promotion of ""In You I Find My Rest""",54,"{5: 0, 25: 3, 75: 1, 200: 0, 500: 0}",0,1543,$,3850,5.3,204,6,0,1,0,4,5,0,Chad Boney,1,0,KS,Cancelled by Creator,"""In You I Find My Rest"""
