avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
1.0,83.83,2019-02-26,2019-01-09,Television,Ithaca,A completely student-produced musical television show to be aired on ICTV in Spring 2019!,89,"{5: 0, 10: 0, 15: 0, 25: 2, 50: 1, 75: 3}",0,941,$,600,167.67,1006,12,1,1,0,6,6,1,Subject to Change,1,1,NY,Funding Successful,Subject to Change: A Scripted Musical TV Show
16.14,27.41,2019-02-25,2019-02-11,Tabletop Games,Exeter,We aim to render these zany medieval doodles in 28mm scale white metal. With more funding we can recreate more images!,118,"{8: 9, 13: 17, 19: 23, 35: 57, 60: 7, 100: 0, 300: 0}",0,1301,£,600,525.33,3152,115,6,1,0,113,7,20,Jamie Loft,20,0,UK,Funding Successful,Medieval Marginalia Presented by Oldschool miniatures
0.18,39.67,2019-02-24,2019-02-09,Technology,Frankfurt,"The world's first mobile heated blanket for dogs. Lightweight, practical and usable everywhere.",95,"{3: 1, 89: 0, 109: 1, 129: 0, 139: 0, 149: 0, 159: 0, 179: 0, 199: 0}",0,4251,€,60000,0.2,119,3,0,First created,0,2,11,0,Outchair for dogs,20,1,Germany,Funding Unsuccessful,"Heated blanket for dogs - ""The Dogwarmer"""
0.5,5.5,2019-02-25,2019-01-26,Product Design,Baar,"Blockchain Designer Network offers a smooth transition for UX, UI, Product, Service and Full Stack Designers to the Blockchain Industry",135,"{10: 1, 20: 0}",0,608,$,25000,0.04,11,2,0,First created,0,1,2,0,Tetyana Zaikina,1,0,Switzerland,Funding Unsuccessful,Blockchain Design Network
2.86,77.64,2019-02-26,2019-02-04,Woodworking,Provo,"A thousand year old sport, supported by woods 5,000-50,000 years old.",69,"{20: 6, 35: 2, 40: 3, 45: 8, 55: 8, 60: 1, 70: 1, 80: 6, 90: 5, 100: 0, 170: 0}",0,3070,$,1000,326.1,3261,42,12,1,0,40,14,8,John and Chelsea Forsythe,14,0,UT,Funding Successful,Ancient Wood Pens For An Ancient Sport
3.0,91.18,2019-02-25,2019-01-26,Shorts,London,"'f r e d' is a story about grief, obsession and our ghosts.",59,"{10: 6, 20: 10, 50: 4, 100: 0, 200: 1, 500: 0, 1: 0}",0,4961,£,3500,101.6,3556,39,0,1,0,21,7,1,Isadora Macleod,6,1,UK,Funding Successful,f r e d
0.11,1.0,2019-02-26,2019-01-27,Mobile Games,London,"A mobile application for exciting word games known for years and played on paper. Play ""Fortified Bridge"", ""Metamorphosis"" and more!",132,"{1: 1, 5: 0, 15: 0, 25: 0, 50: 0, 100: 0, 250: 0, 500: 0}",0,5663,£,4000,0.07,3,3,0,First created,11,1,9,1,Szymon Zyskowski,1,0,UK,Funding Unsuccessful,Wordly
0.21,188.86,2019-02-25,2018-12-27,Childrenswear,Montreal,"‘One parka’, a parka completely redesigned to meet the needs of active kids, and make life easier for their overwhelmed parents.",128,"{0: 1, 1: 1, 5: 0, 10: 0, 24: 0, 149: 1, 199: 0, 229: 0, 249: 0, 259: 2, 279: 0, 288: 0, 299: 0, 339: 0, 369: 0, 388: 0, 448: 0, 488: 1, 548: 0, 588: 0, 668: 0, 688: 0}",0,3120,$,40000,3.31,1322,7,0,First created,0,6,28,0,Dads from One Parka,26,1,Canada,Cancelled by Creator,One Parka - The ultimate winter jacket for kids
1.67,48.5,2019-02-25,2019-02-12,Nonfiction,Evansville,"An incredibly short (and hopefully fun) book navigating the journey of love, desire, Jesus, & satisfaction.",107,"{10: 3, 20: 4, 35: 0, 50: 0, 100: 2, 165: 1}",0,3008,$,567,102.65,582,12,0,1,0,10,6,1,Jeremy Secrest,8,1,IN,Funding Successful,Marriage. Story. Heaven.
3.0,123.7,2019-02-25,2019-01-26,Sound,Fresno,We are building a community radio station in Fresno and we need your support to get the station on the air.,107,"{5: 5, 20: 5, 40: 2, 100: 6, 200: 1, 500: 1, 1: 1}",0,1342,$,3500,95.43,3340,27,0,3,0,21,7,2,Creative Fresno,0,1,CA,Cancelled by Creator,Creativity 93.3 FM: Create. Mix. Play.
1.0,17.74,2019-02-25,2018-12-27,Film & Video,Melbourne,"A movie depicting social issues among school kids and how parents, schools and social medias can address these issues effectively.",130,{1: 1},0,950,$,20000,2.04,408,23,0,First created,0,1,1,1,Balan Sinniah,1,0,AU,Funding Unsuccessful,A'Gurl
6.0,235.3,2019-02-25,2019-01-26,Art Books,Green Bay,An exclusive Hardcover Art Book and Art Prints featuring Melvin McGee's work,76,"{65: 16, 125: 5, 150: 4, 165: 17, 285: 3, 500: 1, 650: 1, 2: 1}",0,3082,$,8000,155.89,12471,53,3,1,0,48,8,4,Melvin McGee,33,3,WI,Funding Successful,Colorful Book of Oil Paintings
1.83,505.42,2019-02-24,2019-01-25,Product Design,Arhus,New designed RISVIG Acutus wine and bottle opener with uniques features - designed by IF and Red dot design winner Jacob Leth-Espensen,134,"{349: 10, 699: 0, 849: 0, 1: 1, 3: 0}",0,2572,kr,2500,242.6,6065,12,0,1,0,11,6,3,Jakob Risvig Skov,14,0,Denmark,Funding Successful,RISVIG Acutus bottle and wine opener
0.0,2.5,2019-02-25,2018-12-27,Apparel,Nancy,Nous souhaitons créer une gamme de vêtement pour les pilotes de drones afin de financer un terrain de drone racing pour les enfants.,132,"{2: 0, 20: 0, 32: 0}",0,2504,€,2500,0.2,5,2,0,First created,0,0,25,0,GINGEMBRE,1,0,France,Funding Unsuccessful,One UP Drone - Vêtements De Drone Racing Solidaire
9.7,122.0,2019-02-25,2019-01-08,Hardware,Seoul,Your First Smart Scent Box,26,"{1: 51, 119: 35, 129: 0, 139: 2, 149: 5, 219: 1, 249: 3}",0,5423,$,10000,124.44,12444,102,4,1,0,97,10,2,Deepscent,25,1,South Korea,Funding Successful,AROM
1.25,52.38,2019-02-26,2019-01-12,Product Design,Sioux Falls,"The Pyramid of Delivery! A pyramid with ""good"", ""fast"", and ""cheap"" on each side to help start conversations about what a project needs",135,"{37: 3, 46: 1, 52: 0, 250: 1}",0,1342,$,3500,11.97,419,8,4,First created,0,5,4,0,Brian,0,1,SD,Funding Unsuccessful,The Pyramid of Delivery
24.8,619.98,2019-02-25,2019-01-26,Camera Equipment,Taipei City,"The world's sharpest 250mm telephoto lens ever made for full frame cameras, Apochromatic specification.",103,"{498: 5, 598: 20, 609: 8, 628: 30, 648: 61}",0,2024,$,30000,266.59,79978,129,113,1,3,124,5,5,James Yang,69,1,Taiwan,Funding Successful,"Ultra Versatile Telephoto Lens, Redcat 250mm f/4.9"
13.2,282.44,2019-02-26,2019-02-19,Design,Mount Maunganui,"FINALLY... A Titanium ""Twist"" Action Pen. Accepts Dozens of Refills. Custom Mechanism. 100% Titanium. Built To Last A Lifetime.",127,"{223: 50, 283: 6, 418: 7, 494: 1, 509: 2}",0,3504,$,4500,426.8,19206,68,7,17,0,66,5,1,Magnus Macdonald,1,0,NZ,Cancelled by Creator,"Titanium ""Twist"" Pen"
8.59,49.52,2019-02-27,2019-01-28,Fabrication Tools,Ferndale,Increase measuring efficiency and accuracy with Speedtape.  Multiple storage options place it always within reach.,114,"{1: 4, 10: 22, 13: 23, 16: 6, 19: 6, 22: 29, 27: 9, 36: 5, 37: 19, 44: 0, 53: 58, 85: 1, 87: 1, 115: 1, 145: 1, 258: 4}",0,986,$,65000,15.31,9954,201,17,First created,0,189,22,6,grant johnston,18,2,MI,Funding Unsuccessful,"Speedtape - Measure twice as fast, cut once!"
4.67,17.9,2019-02-26,2019-02-11,Art,New York,A Tea and Animal Mashup Enamel Pin Series,41,"{8: 5, 10: 12, 16: 5, 20: 2, 25: 3, 30: 1}",0,586,$,400,129.75,519,29,0,1,0,28,6,7,Gray K,4,0,NY,Funding Successful,Tea Creatures: An Enamel Pin Series
10.85,35.73,2019-02-27,2019-01-28,Fiction,London,Vol 1 also available - Discover the pivotal moments in the lives of 12 female vampires as they stalk the streets of Victorian London.,133,"{8: 19, 15: 56, 16: 10, 18: 1, 23: 5, 25: 15, 26: 2, 30: 11, 33: 3, 40: 10, 46: 3, 56: 6}",0,7386,£,1500,345.4,5181,145,26,1,0,141,13,11,Kirk Slater,26,1,UK,Funding Successful,The Sisterhood of blood: Vol 2 - Book
0.0,4.0,2019-02-27,2019-01-29,World Music,Nottingham,Taking the UK to Spain by opening an English bar on the beach,61,"{50: 0, 100: 0, 500: 0}",0,0,£,10000,0.12,12,3,2,First created,0,0,3,1,Sarah,1,0,UK,Funding Unsuccessful,Taking the UK to Spain
1.1,47.23,2019-02-25,2019-01-01,Wearables,Moreno Valley,Temperature Smart Workout: Real Active Wear that changes colors with your bodies temperature and activity level. Show your Colors!,130,"{1: 2, 5: 3, 35: 0, 45: 4, 50: 1, 225: 1, 450: 0}",0,3731,$,5000,12.28,614,13,6,2,4,11,10,3,Meta Wear llc.,24,10,CA,Funding Unsuccessful,Chroma Athletx (Real Active Wear)
3.2,257.68,2019-02-27,2019-02-17,Jazz,Gothenburg,"First ever tour with the innovative Sång, Sax & Slagverk, known for their unique mixture of jazz, pop, electro and Swedish folk music.",134,"{75: 6, 200: 4, 250: 3, 500: 1, 900: 2}",0,2322,kr,5000,113.38,5669,22,0,1,0,16,5,0,Sofia Arale,1,1,Sweden,Funding Successful,Scandinavian Jazz Ensemble Debut Tour/Album
0.83,59.62,2019-02-24,2019-01-20,Plays,Baltimore,"“Hamlet,” presented by The Organic Theatre, is coming to Baltimore this February and is looking for backers.",108,"{1: 1, 10: 0, 50: 3, 100: 1, 450: 0}",0,543,$,5000,9.54,477,8,0,First created,0,5,6,0,Mark Whitman,0,1,MD,Funding Unsuccessful,Hamlet
0,1.0,2019-02-26,2019-01-17,Apparel,Miami,I am creating original designs for t-shirts to inspire people. Our t-shirts will be a reminder to always focus on your vision.,126,{},0,1745,$,5000,0.02,1,1,0,First created,0,0,0,2,Dwight Buckland,8,1,FL,Funding Unsuccessful,Man with a vision apparel
2.2,8.67,2019-02-24,2019-02-04,Product Design,London,The lamp shade that wraps around existing lamp shades.,54,"{1: 6, 10: 5, 12: 0, 23: 0, 34: 0}",0,1765,£,800,13.0,104,12,0,First created,0,11,5,0,Tomi Laukkanen & Mira Nameth,10,1,UK,Funding Unsuccessful,Quickstarter: YksiKaksi - Wrapping Lamp Shade
1.5,26.75,2019-02-24,2019-01-25,Nonfiction,Columbia,"To the girl who is asking, ""What do I do in the meantime?"" 

I have written a book navigating the space from breakup to breakthrough.",133,"{10: 1, 25: 4, 40: 0, 75: 1}",0,1864,$,3500,6.11,214,8,0,First created,0,6,4,0,Brittney Reel,0,1,SC,Funding Unsuccessful,In the Meantime
2.0,60.86,2019-02-24,2019-02-05,Design,Charleston,"Premium Push Up Bars/ Mini Parallettes.

-Body weight training 
-Calisthenics
-Yoga
-Cross-fit
-Home fitness
-Travel fitness
-Workout",133,"{55: 11, 60: 0, 65: 0, 75: 0, 120: 1, 140: 0}",0,4516,$,1000,85.2,852,14,0,3,0,12,6,1,Adam Butterworth,6,1,SC,Funding Unsuccessful,Push Up Bars: The Last Pair you will ever need!
2.12,85.55,2019-02-24,2019-01-25,Video Games,Vancouver,Story driven 2D puzzle-sidescroller.,36,"{5: 8, 20: 2, 50: 0, 75: 2, 150: 2, 300: 2, 400: 1, 1: 0}",0,0,$,30000,6.27,1882,22,0,First created,4,17,8,12,Cheeky Chimp Games,15,1,Canada,Funding Unsuccessful,Tiki-Taki
13.33,25.02,2019-02-24,2019-02-04,Product Design,London,"The plywood frame works as a clip - to attach pictures, papers and notes.  It can be used as a drawing board as well.",117,"{3: 5, 13: 20, 35: 15}",1,1207,£,800,131.38,1051,42,0,1,0,40,3,4,Riku Toivonen,11,2,UK,Funding Successful,Quickstarter: I BELIEVE I CAN PLY
