avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
0.75,34.67,2019-02-21,2019-01-27,Mixed Media,City of Gold Coast,Help me quit my day job and be my own boss!,43,"{15: 0, 30: 2, 50: 0, 100: 1}",0,1299,$,500,41.6,208,6,0,First created,0,3,4,0,Miss Tayla Designs,1,0,AU,Funding Unsuccessful,Nursery Art For Our Mini Humans!
0,61.06,2019-02-19,2019-02-05,Tabletop Games,San Francisco,An open-model skirmish game where players lead bands of dynamic survivors within a crumbling technological megastructure.,121,{},0,0,$,7500,350.91,26318,431,187,1,0,0,0,16,Fractal Basilisk,1,0,CA,Funding Successful,Zone Raiders: a Miniatures Campaign Skirmish Game
0,161.83,2019-02-21,2019-01-22,Playing Cards,Atlanta,You've played Cards Against Humanity...now try The Race Card game where you create hilarious pairings of politically incorrect crimes.,134,{},0,0,$,200,485.5,971,6,0,1,0,0,0,0,Jimmy McCullough,1,0,GA,Funding Successful,The Race Card-Cards Against Humanity with a criminal twist!
0,90.22,2019-02-20,2019-01-21,Thrillers,Los Angeles,"In the heart of North Korea, a girl is desperate to belong. But in a world full of deceit, can you trust anyone--even yourself?",127,{},0,0,$,5000,203.9,10195,113,2,1,0,0,0,11,Dedi,1,0,CA,Funding Successful,Self-Reliance: A short film (in Korean)
0,142.4,2019-02-21,2019-01-22,Apparel,Edmonton,"You have waited 9 months! We are ready now! We have sampled it 6 times, tested it 12 times! Help us bring it to life!",117,{},0,0,$,18000,125.78,22641,159,11,1,0,0,0,4,EMMYDEVEAUX,1,0,Canada,Funding Successful,Athletic One Piece Compression Jumpsuit and Cropped Leggings
0,308.45,2019-02-21,2019-01-22,Apparel,Clovis,"Sweat All You Want, We Have You Covered",39,{},0,0,$,50000,23.44,11721,38,1,1,5,0,0,2,Darryll Van Deursen,0,0,CA,Cancelled by Creator,DragynSkyn - Extreme Base Apparel
0,7.0,2019-02-20,2019-02-04,Print,Lancaster,"I am creating a free local healthcare, health and wellness newspaper for an underserved area. Ad sales will eventuallly fund the paper.",135,{},0,0,$,3000,0.7,21,3,0,1,0,0,0,0,Brandi F.,0,0,CA,Funding Unsuccessful,AV Healthcare News newspaper
0,125.5,2019-02-20,2019-01-21,Film & Video,Emeryville,I am writing a movie about my experiences in a 16 year long psychosis and what happened when I came out of it- Falling in Love,126,{},0,0,$,3000,8.37,251,2,0,1,0,0,0,0,Nicholas Hallowell,0,0,CA,Funding Unsuccessful,A Tale So Epic and Romantic! A Tale That Will Help People!
0,34.33,2019-02-19,2019-01-19,Games,Vancouver,A weird world war 1 adventure!,30,{},0,0,$,50,206.0,103,3,0,1,0,0,0,1,Samson Hess,0,0,WA,Cancelled by Creator,There's something in the basement
0,304.1,2019-02-20,2019-01-21,Jazz,Durham,Lenora (Zenzalai) Helm Hammond's New Big Band Recording,55,{},0,0,$,28500,104.57,29802,98,4,1,0,0,0,9,Lenora Helm Hammonds,1,0,NC,Funding Successful,For The Love of Big Band - The Album
0,76.1,2019-02-21,2019-01-22,Apparel,Vancouver,"The most comfortable, versatile, audacious combination nursing / pumping bra you will ever wear.",96,{},0,0,$,25500,9.25,2359,31,0,First created,3,0,0,1,Wendy Armbruster,0,1,Canada,Funding Unsuccessful,BRA'd - A dual-purpose nursing & pumping bra by Snugabell
0,8.67,2019-02-19,2019-01-20,Food Trucks,Miami,"The World's First Low Carb Food Truck! 
#TheLowCarbBox",54,{},0,0,$,20000,0.13,26,3,0,First created,0,0,0,0,Sebastian Silva,0,1,FL,Funding Unsuccessful,The World's First Low Carb Food Truck!
0,58.89,2019-02-19,2019-01-20,Painting,Charleston,"""The cosmos is within us. We are made of star-stuff.""
Have an original custom piece of stardust to hang on your walls.",118,{},0,0,$,800,139.88,1119,19,0,1,0,0,0,9,Angela Morgane,1,0,SC,Funding Successful,Make 100 Original Custom Cosmos Paintings
