avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
0.0,1.0,2019-04-24,2019-03-25,Fiction,Matlock,I want to shout out about my personal experiences with mental illness in both the written word and photographs.  Help me help to shout.,135,"{15: 0, 50: 0, 65: 0}",0,2273,£,5750,0.02,1,1,0,1,0,0,4,0,Simon Lawrence,1,1,UK,Cancelled by Creator,Two Journery's One Outcome
17.69,805.59,2019-04-22,2019-03-23,Product Design,Athens,A modern designed Swiss made diver watch inspired by the Antikythera Mechanism and millennia-old freediving Greek tradition,123,"{725: 175, 760: 37, 1: 18}",0,14290,$,80000,235.63,188508,234,99,1,0,230,13,4,IANOS ENTERPRISES SARL,41,1,Greece,Funding Successful,IANOS AVYSSOS - AN ANCIENT GREEK SOUL IN A MODERN SWISS BODY
0.0,1.0,2019-04-23,2019-04-03,Mixed Media,Dijon,"Une exposition autour de l'Abécédaire participatif et multi-médium (texte, images, vidéos) de notre collectif, B.A.BA.",118,{25: 0},0,1219,€,300,0.67,2,2,0,1,0,0,1,0,Vanina Lécole,1,0,France,Funding Unsuccessful,Exposition Abécédaire
52.5,66.55,2019-04-22,2019-04-02,Tabletop Games,Cintruénigo,Classic Oldhammer style metal miniatures,40,"{1: 81, 33: 15, 45: 84, 200: 30}",0,4245,€,6000,236.27,14176,213,45,1,0,210,4,14,Diego Serrate Pinilla,35,0,Spain,Funding Successful,Pantheon of Chaos 3 - Rise of the Beastmen
0.0,1.0,2019-04-22,2019-03-24,Nonfiction,Salt Lake City,A true story told by the Nephew of the mother who murdered her daughter and then killed herself last year in 2018.,114,"{20: 0, 50: 0, 100: 0, 200: 0}",0,598,$,10000,0.01,1,1,0,1,0,0,4,0,Houston Hararah,0,1,UT,Cancelled by Creator,The Mother/daughter murder-suicide of Magna Utah 2018
0.0,1.0,2019-04-22,2019-02-21,Apps,España,"Dentro de la App WeFish - Diario de Pesca y Pronósticos, un mapa de seguimiento de especies y predicción de actividad de pesca.",127,"{10: 0, 100: 0}",0,3955,€,15000,0.01,1,1,0,1,0,0,2,0,Alberto M. López,3,1,Spain,Funding Unsuccessful,¡Disfruta de la Pesca Deportiva!
0.0,1.0,2019-04-25,2019-03-30,Conceptual Art,Manhattan,Please support my Art project Made in the USA Series which is an upcoming project during the Artexpo New York 2019.,115,"{35: 0, 70: 0}",0,2225,$,5000,0.04,2,2,0,1,0,0,2,1,Ligel Lambert,1,1,NY,Funding Unsuccessful,The Artexpo New York 2019 - An Art Project Solo Exhibition
0.0,1.0,2019-04-23,2019-02-22,Food,Dresden,Handlicher mechanischer Möhrenschäler für Privathaushalte oder Gastrogewerbe.,77,"{47: 0, 500: 0}",0,1460,€,3491,0.03,1,1,0,1,0,0,2,0,Holger Schatte,0,1,Germany,Cancelled by Creator,LoopCut: Möhre durch und fertig geschällt.
8.0,367.86,2019-04-23,2019-03-24,Journalism,Stockholm,Lort-Sverige 2.0 2019,21,{10: 8},0,902,kr,350000,117.5,411265,1118,6,1,0,8,1,0,Mustafa Panhsiri,1,1,Sweden,Funding Successful,Lort-Sverige 2.0
9.25,25.85,2019-04-23,2019-03-24,Children's Books,North Yorkshire,A charming children's story illustrated with puppets and handmade sets.,71,"{10: 22, 15: 36, 35: 2, 40: 10, 50: 0, 100: 3, 150: 0, 250: 1}",0,3256,£,2000,111.15,2223,86,1,1,0,74,8,4,Jay Stelling,14,1,UK,Funding Successful,Whistle-Stop Thistle
