avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
1.0,61.67,2019-04-28,2019-03-20,Apparel,Toronto,"Fashion Wearable Technology: Infinia Smart Heated Down Jacket- all-in-one, everything built-in, modular, convertible, amazing design!",133,{75: 1},0,114,$,14000,1.32,185,3,0,First created,0,1,1,0,Infinia Apparel,1,0,Canada,Cancelled by Creator,Infinia Smart Heated Down Jacket
25.94,52.57,2019-04-29,2019-03-29,Tabletop Games,Menasha,"Liberi Gothica Games' best-selling game is back, now with two additional books' worth of content!",97,"{1: 9, 14: 15, 17: 3, 30: 105, 35: 150, 45: 12, 50: 136, 80: 1, 180: 24, 200: 4, 300: 4, 450: 2, 600: 2}",0,15609,$,14000,176.1,24654,469,39,1,0,467,18,17,Jacob Randolph,14,0,WI,Funding Successful,Fellowship 2nd Edition
3.8,40.52,2019-04-30,2019-04-02,Tabletop Games,Waco,"LayDown - A Fast, Fun Domino Game",33,"{1: 1, 17: 9, 37: 3, 60: 6}",0,0,$,2000,42.55,851,21,0,First created,0,19,5,2,Glen A.  Land,1,1,TX,Funding Unsuccessful,NEW! World's Most Challenging Domino Game
0.67,95.55,2019-04-29,2019-03-30,Puzzles,New York,"A cute, catsual puzzle game for cat enthusiasts!",48,"{5: 0, 10: 5, 12: 0, 25: 0, 50: 0, 125: 1, 250: 0, 500: 0, 1: 0}",0,1550,$,1000,105.1,1051,11,0,1,0,6,9,1,Wynta Carter,5,1,NY,Funding Successful,Hisstopia
14.2,58.71,2019-04-29,2019-02-28,Classical Music,Pittsburgh,A performance and recording of flute music by and about nasty women,67,"{5: 16, 30: 37, 50: 11, 100: 6, 250: 1}",0,2529,$,5000,109.2,5460,93,1,1,0,71,5,0,Zoe Sorrell,1,1,PA,Funding Successful,My Own Route
2.22,649.06,2019-04-30,2019-04-01,Shorts,Ebeltoft,Will there ever come a time when no new ideas are left to invent?,65,"{50: 3, 100: 5, 250: 6, 500: 0, 750: 0, 1: 4, 2: 2, 4: 0}",0,4477,kr,20000,100.61,20121,31,0,1,0,20,9,5,Laura Zayan,21,2,Denmark,Funding Successful,The End of Originality - short film
6.67,34.99,2019-04-29,2019-03-21,Comic Books,Delaware,We are bringing to life the next comic book in the Scarlet Huntress series... Scarlet Huntress Adventures! with three all new stories!,134,"{5: 35, 8: 88, 10: 25, 15: 30, 20: 18, 25: 50, 30: 0, 35: 9, 40: 0, 45: 33, 50: 19, 55: 4, 60: 2, 70: 8, 100: 1, 150: 2, 200: 1, 250: 0, 300: 1, 350: 0, 400: 1, 500: 0, 750: 0}",0,4050,$,3500,338.94,11863,339,20,1,0,327,49,13,Sean Forney,55,1,OH,Funding Successful,Scarlet Huntress Adventures!
5.8,382.03,2019-04-29,2019-02-28,Wearables,Kristiansand,Get rid of the pain caused by thumb arthritis or repetitive stress injury and enjoy the activities as you did before.,117,"{10: 2, 100: 1, 350: 10, 650: 16, 2: 0}",0,3264,kr,4117105,0.34,14135,37,3,First created,0,29,5,15,Pawel S. Sliwa,41,2,Norway,Funding Unsuccessful,BeneMed Arthro - thumb brace to grasp again with no pain
3.0,9.12,2019-04-30,2019-04-12,Accessories,Devon,Steins;Gate Anime Inspired Enamel Pins,38,"{6: 13, 12: 2, 18: 0, 24: 0, 30: 0}",0,1323,£,250,58.4,146,16,0,3,0,15,5,6,Tasher,1,0,UK,Funding Unsuccessful,Steins;Gate Inspired Enamel Pins
1.17,52.58,2019-04-30,2019-04-20,Food,West Yorkshire,Easy Peasy Cooking products provide training and work in a women's prison .. this project provides work for 2 ex=offenders on release,133,"{10: 2, 15: 4, 20: 0, 50: 0, 100: 0, 500: 1}",0,4895,£,8000,7.89,631,12,0,First created,0,7,6,1,Ian Bacon - 'Thyme for Work',9,2,UK,Funding Unsuccessful,2 female ex-offenders + Herbs & Spices = Thyme for Work !!
59.69,30.82,2019-04-30,2019-03-30,Tabletop Games,España,MOON is an educational game where players will simulate a simple computer. Help the astronauts to fulfill their mission!,120,"{1: 12, 14: 149, 15: 525, 30: 0, 40: 227, 60: 26, 100: 12, 200: 3, 500: 1}",0,3158,€,3000,984.17,29525,958,184,1,2,955,16,19,garaizar,63,1,Spain,Funding Successful,MOON
0.67,18.33,2019-04-30,2019-03-14,Tabletop Games,Baltimore,"D&D 5e Homebrewed Role Playing Game with 3D Figurines, Mini Figurines, and RPG World and Lore.",94,"{25: 4, 50: 0, 100: 0, 500: 0, 1: 0, 2: 0}",0,585,$,2500,4.4,110,6,1,First created,0,4,6,0,Kaitlyn Hogancamp,1,0,MD,Funding Unsuccessful,“The Accounts of Koraden” By: Palette Productions
9.8,13.25,2019-04-30,2019-03-31,Graphic Novels,Bristol,"Hammer-horror inspired graphic novel, now in full colour, with art from best-selling artist Amrit Birdi",103,"{4: 13, 8: 12, 12: 9, 18: 6, 25: 9}",0,6372,£,500,137.8,689,52,2,1,0,49,5,4,Hellbound Media,23,1,UK,Funding Successful,Gabriel Cushing: A Fright at the Opera
3.0,21.3,2019-04-30,2019-04-11,Product Design,Honolulu,A Patented Eco-Friendly Golf Tee Designed to Make Golf Easier and More Enjoyable for Amateur Golfers Around The World,117,"{5: 1, 9: 1, 20: 7}",0,3665,$,5000,4.26,213,10,0,First created,0,9,3,2,Jason Park,6,1,HI,Funding Unsuccessful,RUBBER TEE ME | Ultimate Golf Tee to Help Save The Planet
11.33,1193.08,2019-04-30,2019-03-26,Technology,Willich,Endlich eine AHK für Tesla Model S,34,"{300: 0, 1: 34}",0,912,€,30000,155.1,46530,39,1,1,0,34,3,1,MisterDotCom - Michael Papenburg,3,0,Germany,Funding Successful,Anhängerkupplung für Tesla Model S
1.75,73.45,2019-04-29,2019-02-28,Tabletop Games,Palisades Park,Artworld is a card game involves a critic who rates art and collectors who buy art through auction and sell to the critic for profit.,133,"{60: 2, 90: 4, 115: 0, 175: 1}",0,7391,$,8000,10.1,808,11,0,6,0,7,4,0,Chunbum Park,5,1,NJ,Funding Unsuccessful,Artworld: The Card Game
7.33,72.42,2019-04-30,2019-03-22,Tabletop Games,Akersloot,"Free roam the city, build your empire, play missions & destroy your opponents!",78,"{38: 22, 42: 0, 250: 0}",0,3044,€,20000,9.41,1883,26,17,First created,0,22,3,2,Tristan Buchinhoren,12,1,Netherlands,Cancelled by Creator,Controllers of Mayhem
17.0,28.42,2019-04-30,2019-04-01,Tabletop Games,San Antonio,Collect flowers and affect the market by laying tiles and cleverly pruning them!,80,"{29: 1, 36: 33}",1,536,$,4200,967.67,40642,1430,199,1,1,34,2,11,Marshall Britt,13,1,TX,Funding Successful,Blume
1.3,69.2,2019-04-30,2019-03-26,Graphic Novels,Shenzhen,The story of a man in 1930's Sudan who is cursed to roam an endless desert until he is given a chance for redemption... and revenge.,132,"{5: 2, 15: 3, 30: 4, 60: 3, 180: 1, 300: 0, 350: 0, 600: 0, 800: 0, 2: 0}",0,9084,$,3000,34.6,1038,15,0,4,0,13,10,3,Michael Kelley,14,1,China,Funding Unsuccessful,Um Khuzi: Origin - A Comic Book / Graphic Novel
1.2,14.86,2019-04-26,2019-03-27,Accessories,Paris,Sailor Moon inspired pin.,25,"{8: 4, 10: 0, 17: 1, 20: 0, 30: 1}",0,876,€,500,20.8,104,7,0,First created,0,6,5,1,LumaMirae,1,0,France,Funding Unsuccessful,Light of Hope - Enamel Pin
9.5,21.57,2019-04-30,2019-04-13,Photography,Coventry,What's The Weather Like? is the degree show exhibition of the graduating class of Coventry University's BA (Hons) Photography Programme,135,"{5: 1, 15: 14, 25: 13, 35: 10}",0,1264,£,500,220.0,1100,51,0,1,0,38,4,0,Whats the weather like?,1,0,UK,Funding Successful,Coventry University BA (Hons) Photography Degree Show 2019
76.3,85.76,2019-04-30,2019-03-20,Tabletop Games,Los Angeles,A cooperative worker placement game where players have to unite to save the ocean.,82,"{36: 15, 38: 10, 40: 16, 48: 430, 52: 50, 56: 9, 64: 10, 100: 190, 105: 10, 108: 23}",0,5696,$,8000,855.49,68439,798,152,1,5,763,10,13,"Shepherd Kit, Inc.",51,1,CA,Funding Successful,Ocean Crisis: Unite To Save The Ocean
3.75,12.88,2019-04-30,2019-03-25,Product Design,Paris,BTS Love Yourself - Speak Yourself World Tour * Enamel Pin,58,"{1: 0, 7: 9, 11: 6, 70: 0}",0,2049,€,600,34.33,206,16,1,First created,0,15,4,4,Ophiel,1,0,France,Cancelled by Creator,BTS Love Yourself World Tour 2019 enamel pin
0.71,154.33,2019-04-30,2019-03-01,Gadgets,Birmingham,A bicycle Stem that enables a user to charge devices on the go.,63,"{10: 1, 160: 2, 175: 1, 190: 0, 350: 1, 1: 0, 5: 0}",0,3423,£,190000,0.49,926,6,0,First created,0,5,7,0,NRG Stems Ltd,12,1,UK,Funding Unsuccessful,NRG Bike Stem - Integrated power for your devices
6.5,15.04,2019-04-29,2019-02-28,Zines,London,A zine that includes maps and characters for you to build 3D dungeons with toy bricks and card for use with your favourite rpg.,127,"{2: 3, 6: 7, 7: 3, 18: 13}",0,1349,£,3500,11.6,406,27,6,First created,0,26,4,0,Daniel Munday,1,0,UK,Funding Unsuccessful,Taller Worlds
8.08,87.54,2019-04-30,2019-03-31,Letterpress,Worms,Artist Pernilla Kannapinn turns her intense acrylic paintings and her story of a fantastic journey into a book for souls of all ages.,133,"{1: 5, 10: 1, 22: 63, 45: 18, 50: 10, 100: 3, 150: 1, 400: 1, 600: 3, 900: 0}",0,2871,€,9000,105.04,9454,108,2,1,0,105,13,2,Exo10 records,8,1,Germany,Funding Successful,A tale of darkness and light - by Pernilla Kannapinn
0.14,1429.5,2019-04-29,2019-04-04,Product Design,Stockholm,We have created nuxcase. A compact desktop with a handle that fits Nvidia RTX-series and mini ITX. Now it is time for the next step.,132,"{600: 0, 2: 1, 5: 0, 7: 0, 12: 0, 18: 0, 25: 0}",0,1249,kr,50000,5.72,2859,2,2,2,0,1,7,0,Henrik Jensen,12,1,Sweden,Cancelled by Creator,The next generation gaming PC
3.0,1.2,2019-04-29,2019-03-08,Software,España,An Android and IOS app which is able to notifícate to the devices around the user that he/she is being threatened by someone else,129,{1: 3},0,10434,€,20000,0.03,6,5,3,First created,0,3,1,0,Federico López,1,0,Spain,Cancelled by Creator,SafeMap
