avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
0.5,89.75,2019-02-19,2019-01-30,Nature,Konstanz,100 self made Fine Art Prints of our beautiful nature,53,"{5: 1, 19: 0, 45: 0, 72: 0, 99: 1, 240: 1}",0,2928,€,4800,7.48,359,4,0,First created,1,3,6,0,Adrian,1,1,Germany,Funding Unsuccessful,Make 100 Fine Art Prints
0.0,1.0,2019-02-15,2018-12-17,Publishing,Hattiesburg,"My plans to end rasism,  end crime, end inequality,  and being all people together as one.",90,{25: 0},0,28877,$,10000,0.01,1,1,0,2,0,0,1,0,Nathan sumrall,2,1,MS,Cancelled by Creator,NATHAN 6:6 Welcome to the New Age.
0.1,13.0,2019-02-15,2019-01-12,Zines,Washington,we (and you!) will be determining and creating the future of a visual and literary arts magazinel giving creators bigger opportunities.,135,"{10: 0, 15: 0, 20: 1, 25: 0, 35: 0, 40: 0, 80: 0, 90: 0, 100: 0, 200: 0}",0,1842,$,500,5.2,26,2,0,First created,0,1,10,0,shelby brown,1,0,DC,Funding Unsuccessful,"Guided Magazine, future of arts+culture"
5.6,29.92,2019-02-16,2019-01-22,Accessories,Denver,"A kawaii enamel pin collection inspired by the tradition of Japanese tea ceremonies! Four initial designs, with four more to unlock!",132,"{8: 10, 10: 21, 16: 10, 20: 14, 24: 8, 30: 3, 32: 5, 40: 4, 50: 0, 65: 0, 72: 9}",0,3603,$,400,643.25,2573,86,0,1,0,84,15,15,Tracy Campbell,15,0,CO,Funding Successful,Kittea Ceremony-Hard Enamel Pin Collection
2.0,55.53,2019-02-11,2019-01-11,Painting,Seattle,A collection of animals painted onto a full moon backdrop.,58,"{1: 0, 10: 3, 25: 5, 111: 0, 125: 4, 222: 0}",0,2123,$,500,166.6,833,15,0,1,0,12,6,6,Adriana Klansnic,10,1,WA,Funding Successful,Make 100: Animals in Acrylic
6.5,75.71,2019-02-16,2019-01-02,Technology,Paris,"Hard Instrument Design the World First CrashProof Titan Pen.
 Be Different with a Unique Life-time Laser engraved name Pen !",125,"{67: 20, 69: 9, 81: 4, 89: 0, 97: 1, 159: 5}",0,2664,€,2500,127.2,3180,42,16,1,0,39,6,1,Leith EL ALAMI,9,2,France,Funding Successful,Hard Instrument : Worlds First CrashProof Titanium Pen !!
0,1.0,2019-02-17,2018-12-19,Documentary,Wentzville,Franz Boas and Reformer Science,31,{},0,0,$,70251,0.0,1,1,0,1,0,0,0,0,Ryan O'Dell Begley,0,0,MO,Cancelled by Creator,A Documentary on Anthropologist Franz Boas
3.0,29.43,2019-02-18,2019-02-11,Fashion,San Jose,A gorgeous pressed glitter palette with 20 large unique pressed glitters shades from stunning neutrals to vivid and bold shades.,128,"{25: 5, 50: 1}",0,838,$,5000,4.12,206,7,3,First created,0,6,2,0,Jenn Ripley,0,1,CA,Funding Unsuccessful,LUSTER Pressed Glitter Palette
1.11,103.86,2019-02-16,2019-01-17,Drama,Lynchburg,A drama/comedy about a man who must become the bearded lady in the circus.,74,"{5: 0, 10: 0, 20: 4, 25: 0, 50: 2, 60: 0, 100: 3, 300: 0, 500: 1}",0,5147,$,1500,145.4,2181,21,0,1,0,10,9,0,Megan Deel,7,1,VA,Funding Successful,The Beardless Gentleman: A Short Film
0.0,1.0,2019-02-17,2019-01-18,Webcomics,Mostar,I want to fulfill a long forgotten dream..to share my Manga whit the whole world that everybody can enjoy and maybe find themself's in,134,"{5: 0, 10: 0}",0,847,$,1000,0.1,1,1,0,First created,0,0,3,0,Miran Durakovic,1,0,Bosnia and Herzegovina,Funding Unsuccessful,Monster Blacksmith
17.67,69.2,2019-02-17,2019-01-18,Art,Nashville,A new original album of worship songs by His Own.,49,"{10: 29, 25: 40, 30: 39, 40: 29, 45: 11, 50: 25, 60: 2, 75: 2, 100: 10, 125: 23, 500: 1, 3: 1}",0,1406,$,15000,106.57,15985,231,0,1,0,212,12,0,His Own,1,1,TN,Funding Successful,His Own Kickstarter Campaign #2
1.17,18.25,2019-02-17,2018-12-19,Playing Cards,Nimes,Un jeu composé de 60 cartes où chacunes d'entre-elles ont une répercussion sur le joueur... Attention à son venin !,115,"{1: 1, 10: 6, 50: 0, 100: 0, 500: 0}",0,0,€,3000,4.87,146,8,1,First created,0,7,6,0,Zordka - TU BOA !,1,0,France,Funding Unsuccessful,Jeu d'apéro / Zordka 🐍
3.0,9.44,2019-02-16,2018-12-20,Hardware,Vancouver,I'll be reinventing the way we look at custom built PCs using luxurious woods to turn cheap looking metal boxes into pieces of art.,131,{25: 3},0,1105,$,15000,0.57,85,9,0,2,0,3,1,0,Adam Ghomari,1,0,Canada,Funding Unsuccessful,Luxurious handcrafted Wooden PCs
112.5,30.42,2019-02-15,2019-01-29,Tabletop Games,Seattle,"A family-friendly game with elements of card drafting, set collection, and pattern building for 2 to 5 players, ages 8 and older.",129,"{29: 440, 90: 9, 140: 1}",0,5669,$,10000,146.93,14693,483,82,1,2,450,4,4,Daily Magic Games,29,1,WA,Funding Successful,Chocolatiers
5.0,160.71,2019-02-17,2019-01-22,Technology,Singapore,Always wanted to create your own website? Now you can! Create Your Own Responsive Website with HTML and CSS in this Course.,123,"{29: 18, 40: 2, 58: 8, 120: 1, 175: 0, 350: 3, 1: 3}",0,1340,$,100,6750.0,6750,42,0,1,0,35,7,1,Ong Jun Kai,14,1,Singapore,Funding Successful,New 2019 Goal: Learn to Create Your Website with HTML + CSS
2.17,53.12,2019-02-17,2019-01-18,Sculpture,Littleton,"Building a workshop able to turn 3D plastic prints into fully realized, solid metal objects without a traditional metal foundry.",128,"{5: 0, 10: 5, 25: 3, 50: 0, 75: 4, 100: 1}",0,2150,$,350,242.86,850,16,0,1,0,13,6,6,Isaac fluss,7,0,CO,Funding Successful,Funding the Fluss Family Foundry
7.09,39.85,2019-02-17,2019-01-18,Comics,Houston,We are creating the eighth and final issue of Plus Ultra.,57,"{1: 2, 5: 7, 10: 28, 20: 17, 45: 4, 60: 9, 100: 9, 200: 1, 300: 1, 400: 0, 500: 0}",0,2855,$,2250,139.91,3148,79,1,1,0,78,11,10,Jon Hughes,13,1,TX,Funding Successful,The Final Issue of Plus Ultra from Overground Comics
1.7,30.89,2019-02-17,2019-01-08,Product Design,España,"Still wearing wrinkled shirt or polo collars? Use our unisex magnetic collar cufflinks to dress stylish, comfortable and fashionable!",133,"{15: 1, 17: 6, 18: 3, 20: 2, 45: 5}",0,114,€,40000,1.47,587,19,0,First created,0,17,10,0,Rebeca Diez,6,1,Spain,Funding Unsuccessful,NUBUSH - Magnetic Collar Cufflinks for any kind of clothes
0.33,15.5,2019-02-15,2019-01-01,Poetry,Las Vegas,A collection of my poetry.,26,"{10: 1, 75: 0, 150: 0}",0,894,$,2000,1.55,31,2,0,First created,0,1,3,0,Tiandra Moore,1,0,NV,Funding Unsuccessful,Emotions of a Nobody
2.6,49.19,2019-02-17,2019-02-03,Zines,Trumansburg,Hermit-Writer,13,"{1: 0, 6: 2, 24: 9, 48: 0, 100: 2}",0,3056,$,2000,39.35,787,16,0,6,0,13,5,0,Robert Walton,0,1,NY,Funding Unsuccessful,& Ranch: The illustrated journals of Yuri Realman
3.75,30.12,2019-02-17,2019-01-27,Art Books,Austin,"Explore authenticity and what makes an idea ""an idea"" in this book of poems, stories, real social media posts, illustrations, and more.",135,"{1: 0, 15: 1, 20: 14}",0,3789,$,2000,24.1,482,16,0,First created,1,15,4,3,Mimic Publishing Collective,10,1,TX,Funding Unsuccessful,NOTIONAL | Make 100 Hardback Books
9.43,59.1,2019-02-17,2019-01-18,Art,Chicago,We'll be hard at work in early 2019 renovating our new space and we need your help!,83,"{10: 3, 25: 27, 30: 16, 50: 18, 500: 1, 800: 1}",1,3478,$,3000,143.8,4314,73,0,1,0,66,7,0,Prairie,8,0,IL,Funding Successful,Prairie - Help Us Renovate Our New Gallery
4.38,179.71,2019-02-15,2019-02-02,Tabletop Games,Blainville,My greatest art packs and maps compilation to date!,51,"{38: 2, 120: 3, 174: 0, 175: 15, 189: 12, 480: 3}",0,805,$,850,803.41,6829,38,25,1,0,35,8,2,Gaudreau Steve,52,0,Canada,Funding Successful,Map and art pack 3 years Compilation at 1 price!
0.0,1.0,2019-02-15,2019-01-16,Digital Art,Los Angeles,❤  4 cute pins that help you wear your heart on your sleeve  ❤,62,"{8: 0, 10: 0, 18: 0, 27: 0, 36: 0}",0,1306,$,800,0.12,1,1,0,3,0,0,5,0,Ollixen,1,0,CA,Cancelled by Creator,"""Bad & Brokenhearted: Gold Enamel Pins"""
0.6,62.75,2019-02-15,2019-01-16,Art,Toronto,By Leeoh Fox,12,"{5: 0, 10: 1, 20: 0, 75: 0, 100: 2}",0,1031,$,500,50.2,251,4,0,First created,0,3,5,0,LeeohFox,1,0,Canada,Funding Unsuccessful,*NEW* Kawaii Maneki-Neko/Maneki-Shiba Stickerpacks!
2.2,1311.0,2019-02-17,2019-01-18,Product Design,Mexico,Support my project and give a personalized gift to that special person for you,78,"{50: 1, 666: 1, 900: 9}",0,1860,MX$,54000,29.13,15732,12,3,First created,0,11,5,1,Martin González Nava,3,1,Mexico,Funding Unsuccessful,Cryptex Box
1.0,7.0,2019-02-15,2019-01-23,Children's Books,Norwich,Children's Books: Books for the littlest ones.,46,{10: 1},0,181,$,600,2.33,14,2,0,2,0,1,1,0,Tracy Rosiene,1,0,CT,Funding Unsuccessful,Creating Children's Books
0.0,46.33,2019-02-15,2018-12-17,Video Games,Manzanillo,Game room where retro gaming merges with current gaming,55,"{1: 0, 10: 0}",0,592,MX$,250000,0.06,139,3,0,First created,0,0,2,0,Jose Ignacio Hernandez Barba,1,0,Mexico,Funding Unsuccessful,Retro and current videogame room
5.33,621.71,2019-02-19,2019-02-04,Illustration,Nagoya,Postcard with RuinDynamics cut scene. RuinDynamicsのカットシーンをプリントしたポストカードを制作します。,77,"{110: 0, 220: 1, 330: 15}",0,2684,¥,10000,105.69,10569,17,0,1,0,16,3,8,underpowermotors,13,0,Japan,Funding Successful,Ruin Dynamics Vol.2-2 postcard collections
12.33,99.73,2019-02-16,2019-01-15,Experimental,New York,A Savage Piece for Savage Times.,32,"{10: 15, 25: 46, 50: 19, 75: 5, 100: 17, 150: 4, 250: 3, 500: 2, 1: 0}",1,3439,$,15000,111.7,16755,168,2,1,0,111,9,7,Little Lord,9,0,NY,Funding Successful,Little Lord’s SKINNAMARINK
38.33,121.0,2019-02-17,2019-01-18,Fantasy,Mosjoen,"""Heim"" is a short film about finding home with one's self - partly set in the world of the Norwegian folklore creature The Huldra.",130,"{5: 1, 79: 50, 129: 64}",0,6654,kr,10000,142.78,14278,118,16,1,0,115,3,3,Aleksander L. Nordaas,9,1,Norway,Funding Successful,"The Huldra - Part 1: The short film ""Heim"" (Home)"
0.0,1.0,2019-02-15,2019-01-16,Music,Los Angeles,"My first music video, to help launch a long and successful music career.",72,"{10: 0, 20: 0, 50: 0}",0,3524,$,1000,0.1,1,1,0,First created,0,0,3,0,Garrett Hemsley,0,1,CA,Funding Unsuccessful,Reason's First Music Video (For R E A L)
