avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
0.31,58.17,2019-03-08,2019-01-22,Comic Books,Wichita,An anthology showcase comic book from Super Earth Comics.,57,"{2: 1, 4: 1, 8: 0, 10: 1, 12: 0, 15: 0, 25: 0, 50: 0, 80: 0, 110: 0, 200: 1, 300: 0, 500: 0}",0,9238,$,9000,3.88,349,6,0,First created,0,4,13,0,Jason Everett,8,1,KS,Cancelled by Creator,SuperEarth Spotlight #1 Starring Kid Chaos!
5.75,196.19,2019-03-07,2019-01-31,Conceptual Art,Brooklyn,We will make brilliant ideas and match them with 99% of people who can't start the campaign in the lacks of idea and confidences.,129,"{1: 6, 100: 15, 700: 1, 3: 1}",0,1797,$,3700,143.16,5297,27,3,1,0,23,4,5,Opencreators,7,1,NY,Funding Successful,Opencreators will bring 100 new ideas to life!
0.67,13.4,2019-03-10,2019-02-08,Publishing,Melbourne,Anecdotal collection and psychoanalytic analyses of the significance of my experiences as a private educator,108,"{5: 1, 50: 1, 120: 0}",0,6025,$,12000,0.56,67,5,0,First created,0,2,3,0,Fawwad A Shabbir,1,0,AU,Funding Unsuccessful,An Education: Life's Meaning
1.5,104.17,2019-03-03,2019-01-03,Thrillers,Birmingham,"A short action thriller, following Aafreen Rana, a rookie spy who is sent on her mission to prove herself worthy a member.",122,"{10: 7, 15: 2, 20: 1, 25: 2, 50: 0, 75: 0, 100: 0, 150: 0}",0,2827,£,2500,100.0,2500,24,0,1,0,12,8,0,Bobo Choy,11,1,UK,Funding Successful,Black_Diamond
1.1,74.06,2019-03-07,2019-02-05,Art,San Francisco,The Art Hook is a digital arts and crafts mobile app that helps both hobbyists and professionals achieve their creative goals.,126,"{5: 3, 20: 2, 40: 1, 60: 0, 80: 0, 100: 3, 200: 2, 500: 0, 1: 0, 10: 0}",0,3511,$,15000,8.89,1333,18,0,First created,0,11,10,1,Arianna Fornaciai,1,0,CA,Funding Unsuccessful,The Art Hook
10.0,30.06,2019-03-10,2019-02-08,Installations,Chicago,"A series of new works to hang within a skylight, upon 60 feet of street facing windows, and up a 40 foot wall in Hyde Park.",123,{10: 10},0,2860,$,525,103.05,541,18,0,1,0,10,1,5,Kara Cobb Johnson,1,0,IL,Funding Successful,Mama's Hand: An Exhibition by Mom/Artist Kara Cobb Johnson
2.2,66.5,2019-03-07,2019-02-05,Accessories,Frederick,Join S.H.I.E.L.D. today!,24,"{1: 0, 10: 3, 15: 0, 30: 0, 60: 8}",0,2337,$,200,399.0,798,12,4,1,0,11,5,11,Alastair M. Lyons,9,1,MD,Funding Successful,S.H.I.E.L.D. Needs you Citizen!
5.27,189.67,2019-03-10,2019-02-11,Film & Video,Los Angeles,"The Commons is a public access-style morning talk show, for witches by witches.",79,"{20: 21, 25: 17, 30: 13, 40: 2, 50: 6, 60: 10, 75: 3, 100: 2, 125: 0, 150: 2, 200: 1, 250: 1, 300: 0, 500: 0, 1: 1}",0,9025,$,20000,100.52,20105,106,0,1,0,79,15,1,The Commons,3,1,CA,Funding Successful,The Commons Season 2
6.38,58.14,2019-03-10,2019-02-08,Art,Berlin,The second edition of a 36 hr experimental art festival just outside of Berlin.,79,"{10: 2, 19: 10, 40: 1, 60: 28, 110: 10, 250: 0, 500: 0}",1,4068,€,3000,108.53,3256,56,0,1,2,51,8,2,MetaDada,10,1,Germany,Funding Successful,MetaDada 2019 - an experimental arts festival
0.14,254.0,2019-03-10,2019-02-08,Product Design,Copenhagen,A safety harness for children in a chairlift.,45,"{50: 0, 750: 1, 875: 0, 1: 0, 2: 0}",0,1380,kr,50000,2.03,1016,4,5,First created,0,1,7,0,Allan Giesel,3,1,Denmark,Funding Unsuccessful,GIESEL Ski Lift Safety
0.83,12.43,2019-03-08,2019-02-06,Video Games,Portland,Ghost Fight!! is a competitive monster battler in which players select a Shaman and their team of ghosts to use in RPG style combat.,132,"{15: 4, 25: 1, 50: 0, 70: 0, 200: 0, 675: 0}",0,204,$,13500,0.64,87,7,0,2,0,5,6,0,MakoPako,1,0,OR,Cancelled by Creator,Ghost Fight!! A competitive RPG Monster Battler (Canceled)
34.57,40.06,2019-03-10,2019-02-10,Tabletop Games,Scandicci,"STL files printable in 3D with terrains and miniatures for your adventures, role-playing games and board games.",111,"{1: 18, 3: 7, 22: 7, 25: 36, 43: 104, 60: 70}",0,6988,€,400,2443.75,9775,244,86,1,0,242,7,20,Cross Lances,76,0,Italy,Funding Successful,The Cemetery Gate
16.03,139.07,2019-03-10,2019-02-08,Restaurants,Horsham,"Help me transform a large Edwardian pub, in the heart of the Sussex countryside into a destination venue and gastronomic retreat.",129,"{5: 10, 10: 74, 15: 65, 40: 13, 45: 15, 55: 12, 70: 193, 100: 25, 120: 25, 140: 12, 160: 2, 180: 23, 250: 41, 280: 63, 300: 4, 320: 23, 500: 13, 560: 3, 750: 3, 1: 4, 2: 1, 4: 1, 6: 0}",1,7165,£,60000,148.34,89007,640,13,1,1,625,39,8,Matt Gillan,8,3,UK,Funding Successful,Heritage - a country side retreat
22.88,54.41,2019-03-07,2019-02-14,Comics,Montreal,The first installment of queer/femme monster rom-com: Paint the Town Red,72,"{15: 72, 20: 55, 35: 14, 50: 37, 80: 1, 150: 2, 200: 2}",1,1985,$,6000,172.3,10338,190,19,1,0,183,8,12,J. Kiakas,14,0,Canada,Funding Successful,Paint The Town Red Volume 1.1
33.5,105.76,2019-03-10,2019-02-05,Tabletop Games,Blaine,The second installment in the Combat Infantry series: EastFront. You do not need Combat Infantry: WestFront to play.,116,"{69: 141, 138: 52, 187: 4, 249: 4, 269: 0}",0,0,$,10000,221.04,22104,209,28,1,4,201,6,4,Columbia Games,11,1,WA,Funding Successful,Combat Infantry: EastFront
0.33,37.33,2019-03-10,2019-02-08,Publishing,Milan,"A new edition of ""The Metamorphosis"" by Franz Kafka.",52,"{4: 0, 13: 1, 25: 0}",0,819,€,2000,11.2,224,6,0,First created,0,1,3,0,Federico Gastaldi,6,1,Italy,Funding Unsuccessful,The Metamorphosis
0.25,16.6,2019-03-10,2019-02-27,Comic Books,Berlin,Blessed Artbook,15,"{50: 0, 55: 1, 70: 0, 90: 0}",0,5829,€,750,11.07,83,5,0,2,0,1,4,0,Kiriya Kirihara,1,0,Germany,Funding Unsuccessful,WISH
2.07,317.84,2019-03-10,2019-02-08,Fiction,Townsville,"Pride and Prejudice, Tom Sawyer & Huckleberry Finn, Alice in Wonderland and Treasure Island",91,"{20: 0, 135: 5, 160: 0, 200: 19, 490: 0, 750: 5}",1,9269,$,5000,203.42,10171,32,0,1,0,29,14,3,Waterbell,27,1,AU,Funding Successful,Illustrated Classic Books
50.75,20.3,2019-03-10,2019-02-08,Comic Books,San Antonio,Help us colorize the original black-and-white Gold Digger series by award-winning artist Fred Perry.,100,"{6: 73, 12: 41, 25: 89}",0,3498,$,1200,345.17,4142,204,18,1,0,203,4,6,Antarctic Press,14,0,TX,Funding Successful,Fred Perry's Gold Digger - COLORIZED part 4
3.33,49.89,2019-03-10,2019-02-06,Experimental,London,"A story of motherhood, loss and ambition based on Shakespeare's classic Macbeth.",80,"{5: 0, 10: 7, 20: 4, 30: 10, 50: 5, 100: 3, 300: 0, 500: 1}",1,1323,£,1000,189.6,1896,38,0,1,0,30,9,7,Grace Andrews,6,0,UK,Funding Successful,WE THREE
80.0,37.06,2019-03-10,2019-02-08,Graphic Design,London,"A detailed history behind the crests of 34 clubs to have graced Serie A, alongside artwork from designers who support them.",123,"{29: 150, 60: 10}",0,3579,£,5395,113.35,6115,165,1,1,0,160,2,2,James Kirkup,8,0,UK,Funding Successful,Help us Publish The Football Crest Index Vol.2
2.33,25.78,2019-03-10,2019-02-09,Product Design,Nottingham,"PRONGCROFT Ltd brings innovation to the World of Garden Care with the ""The Garden Prong"" a tool featuring an innovative 2-Prong system.",135,"{20: 4, 25: 2, 40: 1}",0,0,£,25000,0.93,232,9,0,First created,0,7,3,0,PRONGCROFT,5,1,UK,Funding Unsuccessful,The Garden Prong to Retail
0.0,1.0,2019-03-10,2019-01-09,Fiction,Talavera de la Reina,Saga de seis novelas enfocadas en la ciencia ficción. Las cuales ya está escrita la primera parte.,98,"{10: 0, 15: 0, 30: 0}",0,2081,€,4000,0.05,2,2,0,First created,0,0,3,0,David Cachaza,1,0,Spain,Funding Unsuccessful,Saga No Hope
22.94,33.29,2019-03-10,2019-02-16,Accessories,Southampton,A set of gold and rainbow metal enamel pins inspired by dragons and their hoards!,81,"{6: 25, 8: 92, 15: 120, 20: 10, 24: 47, 25: 20, 30: 33, 38: 11, 40: 0, 45: 5, 50: 15, 60: 11, 75: 5, 110: 1, 150: 4, 200: 10, 240: 4}",0,1519,£,1750,791.43,13850,416,19,1,2,413,18,11,Chloe Tier,18,0,UK,Funding Successful,Here There Be Dragons Enamel Pins - Tiny Hoarders!
15.17,73.64,2019-03-10,2019-02-08,Drinks,Edmonton,"Slap Pop Chiller keeps canned beverages cold for up to four hours,  it converts the beverage carton into a refrigerated carrying case.",134,"{20: 42, 37: 17, 57: 18, 177: 10, 347: 4, 977: 0}",0,7651,$,35000,20.83,7290,99,6,First created,0,91,6,0,David and Sherry Porter,10,1,Canada,Funding Unsuccessful,Slap Pop Chiller
3.89,105.5,2019-03-08,2019-02-06,Games,Auckland,"A brilliantly fun video game that guides young girls to become creative leaders. With augmented reality, and off-screen elements.",129,"{10: 8, 25: 11, 75: 2, 100: 10, 250: 2, 500: 0, 1: 2, 5: 0}",0,11001,$,100000,4.64,4642,44,0,First created,0,35,9,3,Team Zingoshi,28,2,NZ,Funding Unsuccessful,Zingoshi: an inspiring video adventure game for young girls!
0.2,22.0,2019-03-10,2019-01-09,Apparel,Leeds,Working with independent fashion designers to create a diverse clothing brand that helps the environment every step of its journey.,131,"{1: 0, 5: 0, 10: 0, 20: 0, 30: 1, 50: 0, 75: 1, 120: 0, 200: 0, 400: 0}",0,2426,£,5000,2.2,110,5,0,First created,0,2,10,0,Jack Brownless,1,1,UK,Funding Unsuccessful,Soul Beach Clothing - Protecting our Oceans
0.0,2.33,2019-03-10,2019-02-08,Apps,Jacksonville,THE mobile application to store health information and medical records.,71,"{5: 0, 15: 0, 25: 0, 50: 0, 100: 0, 250: 0, 500: 0}",0,2118,$,25000,0.03,7,3,0,First created,0,0,7,0,Key of Life,0,1,FL,Funding Unsuccessful,Key of Life
3.0,11.67,2019-03-10,2019-01-09,Music,St. Louis,A album of songs that will inspire positive vibes among listeners.,66,{20: 3},0,264,$,10000,0.7,70,6,0,First created,0,3,1,0,Kalvin “KD” Dobbins,1,0,MO,Funding Unsuccessful,The Rock Hard Experiment
9.86,39.63,2019-03-10,2019-02-08,Events,Columbus,U Cre-8 Comics is bringing innovative programming and pop cultural engagement to the classroom for 2000 students in Central Ohio.,129,"{1: 13, 5: 20, 25: 19, 50: 10, 100: 5, 250: 2}",0,1883,$,250,1458.4,3646,92,6,1,0,69,7,5,Victor Dandridge,7,1,OH,Funding Successful,Empower Learning with U Cre-8 Comics
2.29,263.12,2019-03-10,2019-02-04,Music,Brooklyn,A new record with star guitarist Kurt Rosenwinkel plus record-release tour.,75,"{10: 6, 20: 8, 30: 4, 50: 2, 75: 5, 100: 7, 150: 2, 250: 1, 500: 2, 1: 1, 2: 1, 3: 0, 5: 0}",0,1572,$,9850,114.86,11314,43,1,1,0,39,17,2,Tobias Meinhart,1,1,NY,Funding Successful,New Record and Release-Tour (with Kurt Rosenwinkel)
10.38,28.79,2019-03-10,2019-03-03,Art Books,London,"A hardback book collecting work from my digital painting series, Black Rabbit.",78,"{7: 10, 22: 47, 27: 10, 30: 6, 35: 8, 56: 1, 66: 0, 90: 1}",1,1703,£,350,690.86,2418,84,11,1,0,83,8,4,Bryn G Jones,12,1,UK,Funding Successful,Black Rabbit - the Art Book
