avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
2.0,48.22,2019-03-11,2019-02-22,Comic Books,Concord,"A calendar comic that chronicles a year of my adventures in cartoon school, and a sketchbook to help others record their own days.",130,"{5: 0, 15: 1, 20: 11, 40: 9, 45: 1, 50: 7, 65: 3, 75: 0, 80: 1, 95: 0, 150: 0, 165: 0, 200: 1, 225: 0}",1,4367,$,500,356.8,1784,37,4,1,0,34,17,18,Sandra Bartholomew,18,0,NH,Funding Successful,QUO VADIS Calendar Comic & ARTGENDA Sketchbook
0.16,33.6,2019-03-11,2019-01-25,Video Games,España,Massive Multiplayer Roleplay and Medieval life simulator set in a fantasy world.,80,"{25: 1, 40: 1, 50: 0, 75: 0, 100: 1, 200: 0, 300: 0, 500: 0, 750: 0, 1: 0, 2: 0, 5: 0}",0,0,€,50000,0.34,168,5,0,1,0,3,19,1,Millennium Games,21,3,Spain,Cancelled by Creator,Kingdoms of Ereloth - MMORPG Medieval Life Simulator
15.0,56.46,2019-03-11,2019-02-10,Art,Pittsburgh,"Large scale, high quality prints of monsters, robots, and sci-fi creatures rampaging through American cities.",109,"{40: 35, 50: 25, 75: 16, 80: 6, 90: 8}",0,1805,$,5000,111.8,5590,99,3,1,0,90,6,7,Matthew Buchholz,3,1,PA,Funding Successful,Large Scale Alternate Histories Art Prints
0.5,13.6,2019-03-11,2019-01-10,Young Adult,Logrono,Una saga de novelas.,20,"{1: 1, 5: 0, 15: 1, 30: 0, 50: 1, 100: 0}",0,1898,€,2500,2.72,68,5,0,1,0,3,6,3,Víctor Aristimuño,1,0,Spain,Funding Unsuccessful,Inner Hero
134.56,110.18,2019-03-11,2019-01-30,Product Design,Rijswijk,"From the creators of the Bobby Anti-theft Backpack, we are pleased to announce not just 1, but TWO new premium Anti-Theft models.",129,"{75: 1, 90: 443, 145: 217, 150: 407, 180: 17, 210: 92, 290: 33, 700: 1, 1: 0}",0,3395,€,20000,1224.1,244819,2222,690,1,54,1211,9,7,XD Design,106,1,Netherlands,Funding Successful,The Bobby Pro & Bobby Tech Anti-Theft Backpacks by XD Design
14.43,30.3,2019-03-11,2019-02-09,Video Games,Dallas,Romance Visual novel based in a university set slightly in the future!,70,"{1: 11, 19: 42, 29: 24, 39: 2, 49: 11, 59: 9, 175: 2}",0,628,$,6500,48.48,3151,104,8,1,0,101,7,0,Jonathan Solis,1,0,TX,Funding Unsuccessful,Dawn Drop: Visual novel
1.0,2.33,2019-03-11,2019-01-10,Apparel,Perth,exotic resort swimwear brand which focuses on bold prints and quality fabrics inspired by vibrant cultures around the world,123,{5: 1},0,1855,$,10000,0.07,7,3,0,1,0,1,1,0,Elodie Payet,1,0,AU,Funding Unsuccessful,Hand Designed swimwear - quality & vibrant fabrics
10.89,90.87,2019-03-11,2019-02-04,Film & Video,Los Angeles,"At the height of the Reagan 80s, a family of Canadian Communists struggles to fit into an ultra-conservative neighborhood.",122,"{5: 22, 15: 45, 25: 25, 30: 20, 40: 21, 55: 3, 60: 28, 100: 16, 125: 4, 150: 4, 300: 2, 500: 3, 1: 1, 3: 2}",0,9519,$,25000,102.14,25535,281,1,1,1,196,18,4,Leah Cameron,13,1,CA,Funding Successful,The Communist's Daughter: A Cold War Comedy Set in the 1980s
8.75,45.77,2019-03-12,2019-02-05,Technology,Boston,"TVOOT is the first crowd-powered, social TV platform.",53,"{5: 6, 24: 26, 89: 2, 129: 1}",0,1605,$,15000,12.21,1831,40,1,1,1,35,4,1,Vinny Pizzi,29,1,MA,Cancelled by Creator,TVOOT - Better TV
3.86,81.38,2019-03-11,2019-02-14,Shorts,Bristol,"With their icy relationship Hideo is unable to lean on his brother, Touma and so to stop his nightmares he calls upon the Baku.",127,"{1: 2, 10: 4, 20: 4, 35: 10, 50: 3, 100: 2, 500: 2}",0,1952,£,2500,120.44,3011,37,0,1,0,27,7,0,Brother_Film,8,2,UK,Funding Successful,BROTHER - GRADUATE FILM
