avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
12.46,48.25,2019-05-02,2019-04-01,Tabletop Games,Kitchener,Survival of the Fixest is the hilarious game of resourcefulness where you take the items you're given and fix them together to survive!,135,"{1: 6, 15: 11, 30: 129, 60: 11, 100: 2, 150: 0, 350: 2, 500: 1, 3: 0, 10: 0}",0,2840,$,29000,29.11,8443,175,19,First created,9,162,13,3,Secret Level Entertainment,17,3,Canada,Funding Unsuccessful,Survival of the Fixest: New Party Game for Friends & Family
0.67,116.33,2019-05-01,2019-03-30,Footwear,Harlem,A performance running shoe to celebrate Teachers has a new color.,65,"{99: 2, 169: 0, 1: 0}",0,2934,$,100000,0.35,349,3,0,First created,0,2,3,0,GoodThin.gs,1,1,NY,Funding Unsuccessful,Ninety Nine Products: Point | UnderTheDesk
72.19,179.71,2019-05-03,2019-03-26,Product Design,Seattle,Made of a magical fabric blend of Bamboo Viscose and Merino Wool to offer unparalleled comfort and functionality when you are on the go,135,"{1: 228, 98: 1, 108: 7, 118: 199, 128: 65, 188: 1, 198: 4, 218: 37, 238: 68, 278: 156, 297: 554, 318: 8, 348: 17, 368: 130, 396: 302, 418: 2, 458: 8, 495: 40, 568: 2, 594: 36, 678: 3, 980: 9}",0,5563,$,50000,6254.36,3127181,17401,494,1,12,1877,26,3,BAUBAX LLC,65,1,WA,Funding Successful,The World's Best TRAVEL PANTS with 15 Features || BauBax
15.5,28.77,2019-05-03,2019-04-02,Graphic Novels,Minneapolis,"Verity plunges into a quest to rescue her father—and herself!—from a world of imagination. 100+ page, full-color graphic novel.",127,"{18: 13, 20: 57, 30: 18, 60: 5}",1,774,$,800,356.0,2848,99,9,1,3,93,6,7,Amanda Kastner,11,0,MN,Funding Successful,Imaginarium: An All-Ages Fantasy Comic
0.0,1.0,2019-05-03,2019-03-04,Narrative Film,Charlotte,A short film to explore the underground world of drag racing,60,"{1: 0, 5: 0, 10: 0, 15: 0, 20: 0, 25: 0, 30: 0, 50: 0}",0,4374,$,3000,0.03,1,1,0,First created,0,0,8,0,Mason Chance,1,0,NC,Funding Unsuccessful,Street Machines
0.71,2669.92,2019-05-03,2019-04-10,Technology,Santa Cruz de Tenerife,"3rd brake light for Trucks, Trailers, Vans, Busses and Old Cars",63,"{44: 1, 49: 1, 88: 0, 98: 1, 220: 0, 249: 0, 440: 2, 499: 2, 1: 0, 2: 1, 4: 1, 6: 0, 7: 0, 8: 3}",0,2727,€,20000,173.54,34709,13,0,3,0,12,17,0,Vizy Island,13,1,Spain,Cancelled by Creator,Vizy - Got Your Back
38.33,33.18,2019-05-01,2019-03-29,Anthologies,Toronto,A novel of unfinished novels by copywriters everywhere.,55,"{1: 0, 10: 9, 20: 106}",0,1447,$,2000,197.4,3948,119,0,1,5,115,3,0,The First Chapter Project,1,1,Canada,Funding Successful,Chapter One
2.0,29.0,2019-05-01,2019-04-01,Software,Saint John,A streamlined email client and personal organizer: an open source alternative to the excellent and discontinued Google Inbox,124,"{5: 2, 25: 0, 50: 4}",0,296,$,100000,0.23,232,8,0,First created,0,6,3,0,oldhen,1,0,Canada,Funding Unsuccessful,Meanwhile: An OSS replacement for Google Inbox
1.33,52.55,2019-05-02,2019-03-20,Comedy,Chicago,Yes Ma'am Circus is back with a new production! This June we'll be bringing our version of Shakespeare's 12th Night to the the stage.,133,"{1: 0, 5: 1, 15: 1, 30: 3, 45: 2, 60: 1, 75: 2, 90: 6, 125: 0, 150: 0, 250: 0, 500: 0}",0,1688,$,500,231.2,1156,22,0,1,6,16,12,9,Yes Ma'am Circus,8,1,IL,Funding Successful,Circus Shakespeare Show
1.0,27.75,2019-05-01,2019-03-14,Illustration,Fayetteville,"A cute bundle of Doki Doki Literature Club art prints, buttons, and stickers!",77,"{10: 2, 12: 0}",0,0,$,80,138.75,111,4,0,1,0,2,2,2,Cathleen,4,0,NC,Funding Successful,Doki Doki Kickstarter
